0,"['one', 'make', 'get', 'people', 'go', 'time', 'take', 'like', 'use', 'new']"
1,"['model', 'production', 'share', 'target', 'expect', 'investors', 'analysts', 'street', 'wall', 'tsla']"
2,"['million', 'billion', 'company', ""'s"", 'get', 'think', 'come', 'vehicles', 'model', 'see']"
3,"['new', 'time', 'world', 'one', 'lead', 'become', 'give', 'find', ""'s"", 'set']"
4,"[""'s"", 'electric', 'battery', 'say', 'market', 'cars', 'model', 'produce', 'world', 'may']"
5,"['change', 'use', 'world', 'increase', 'accord', 'find', 'start', 'see', 'two', 'one']"
6,"['power', 'use', 'get', 'provide', 'go', 'charge', 'electric', 'motor', 'set', 'high']"
7,"[""'s"", ""tesla 's"", ""n't"", 'model', 'also', 'go', 'like', 'big', 'look', 'even']"
8,"['us', 'take', 'also', 'say', 'would', 'see', 'come', 'could', 'like', 'point']"
9,"['new', 'news', 'today', 'world', 'see', 'long', 'find', 'cars', 'car', 'october']"
10,"['model', 'production', 'say', 'company', 'vehicles', 'bottleneck', 'produce', 'delay', 'per', 'battery']"
11,"['ceo elon musk', 'start', 'wednesday', 'another', 'buy', 'wall', 'build', 'year', 'period', 'back']"
12,"['sell', 'set', 'much', 'period', 'trade', 'million', 'september', 'electric vehicles', 'last', 'year']"
13,"['release', 'announce', 'may', 'lead', 'october', 'firm', 'september', 'period', 'investors', 'accord']"
14,"['use', 'make', 'new', 'way', 'ceo', 'may', 'technology', 'future', 'issue', 'elon']"
15,"['report', ""'s"", 'quarter', 'analysts', 'say', 'come', 'note', 'model', ""tesla 's"", 'third quarter']"
16,"[""'s"", 'new', 'say', 'company', 'would', 'year', 'high', 'also', 'report', 'market']"
17,"['say', 'cars', 'also', 'electric', 'market', 'battery', 'years', 'company', 'elon musk', 'big']"
18,"['last', 'demand', 'target', 'biggest', 'big', 'right', 'include', 'car', 'many', 'another']"
19,"['drive', 'many', 'take', 'energy', 'note', 'elon musk', 'months', 'trade', 'way', 'work']"
20,"['result', 'last', 'million', 'target', 'ceo elon musk', 'investment', 'know', 'would', 'help', 'next']"
21,"['x', 'share', 'close', 'news', 'plan', 'model', 'provide', 'motor', 'second', 'production']"
22,"['months', 'manufacture', 'many', 'design', 'industry', 'elon musk', 'announce', 'million', 'report', 'set']"
23,"[""'s"", 'market', 'battery', 'line', 'electric', 'may', 'first', 'years', 'would', 'year']"
24,"['car', 'cars', 'market', 'people', 'sales', 'buy', 'offer', 'like', 'still', 'time']"
25,"['electric', 'vehicles', 'electric vehicles', 'vehicle', 'motor', 'would', 'make', 'plan', 'price', 'california']"
26,"['report', 'week', 'last', 'accord', 'industry', 'plan', 'year', 'month', 'part', 'business']"
27,"['elon musk', 'elon', 'ceo elon musk', 'ceo elon', 'musk', 'need', 'want', 'know', 'ceo elon elon musk', 'help']"
28,"['say', 'company', 'add', 'plan', 'want', 'see', 'wednesday', 'offer', 'would', 'also']"
29,"[""'s"", ""n't"", 'new', 'company', 'year', 'years', 'market', 'call', 'today', 'say']"
30,"['car', 'cars', 'drive', 'like', 'get', 'buy', 'technology', 'need', 'people', 'look']"
31,"['issue', 'call', 'model', 'new', 'current', 'november', 'continue', ""tesla 's"", ""'s"", 'tsla']"
32,"['model', 'company', 'million', 'sales', 'see', 'get', ""'s"", 'vehicles', 'also', 'loss']"
33,"['model', 'sales', 'sell', 'market', 'years', 'company', 'make', 'year', 'cars', 'come']"
34,"[""tesla 's"", 'november', ""'s"", 'october', 'bottleneck', 'file', 'inc.', 'vehicle', 'design', 'production']"
35,"['us', 'want', 'long', 'think', 'current', 'delay', 'sell', 'last', 'point', 'continue']"
36,"['share', 'stock', 'quarter', 'company', 'inc.', 'sell', 'price', 'report', 'electric', 'hold']"
37,"['third quarter', 'note', 'analysts', 'year', 'quarter', 'share', 'loss', 'billion', ""'s"", 'current']"
38,"['market', 'back', 'company', 'announce', 'november', 'energy', 'high', 'close', 'share', 'since']"
39,"['company', 'build', 'help', 'also', 'cars', 'year', 'first', 'operate', 'take', 'new']"
40,"['big', 'make', 'find', 'power', 'elon musk', 'vehicles', 'lead', 'ceo elon elon musk', 'like', 'october']"
41,"[""'s"", 'battery', 'electric', 'say', 'market', 'new', 'world', 'demand', 'electric vehicles', 'price']"
42,"[""'s"", 'battery', 'electric', 'new', 'company', 'model', 'market', 'production', 'electric vehicles', 'say']"
43,"['model', 'third quarter', 'say', 'production', 'report', 'produce', 'battery', 'delay', 'third', 'quarter']"
44,"['many', 'offer', 'accord', 'make', 'month', ""'s"", 'company', 'first', 'power', 'ceo elon']"
45,"['model', 'launch', 'new', 'first', 'october', 'work', 'month', 'time', 'one', 'offer']"
46,"['elon musk', 'musk', 'elon', 'ceo elon musk', 'ceo elon', 'ceo', 'ceo elon elon musk', 'say', 'electric', 'make']"
47,"['drive', 'company', 'make', 'production', 'expect', 'plan', 'model', 'many', 'file', 'part']"
48,"['november', 'state', 'meet', 'news', 'new', 'move', 'show', 'provide', 'give', 'go']"
49,"['build', 'charge', ""'s"", 'say', 'market', 'today', 'part', 'get', 'battery', 'need']"
50,"['stock', 'buy', 'share', 'company', 'price', 'trade', 'million', 'investors', 'tsla', 'already']"
51,"['like', 'reach', 'third', 'energy', 'week', 'street', 'loss', 'back', 'inc.', 'note']"
52,"['x', 'announce', 'charge', 'well', 'one', 'meet', 'trade', 'billion', 'stock', 'month']"
53,"['world', 'get', 'find', 'model', 'high', 'could', 'power', 'add', 'file', ""'s""]"
54,"['third', 'sell', 'set', 'provide', 'think', 'musk', 'analysts', 'october', 'plan', 'car']"
55,"['battery', 'big', 'electric', 'design', 'could', 'future', 'would', 'cars', 'take', 'expect']"
56,"['future', 'investment', 'business', 'need', 'continue', 'produce', 'already', 'believe', 'way', 'sell']"
57,"['third quarter', 'quarter', 'third', 'billion', 'year', 'company', 'earn', 'model', 'loss', 'report']"
58,"['come', 'market', 'vehicle', 'think', 'accord', 'california', 'also', 'start', 'long', 'produce']"
59,"['news', 'offer', 'another', 'follow', 'people', 'october', 'would', 'market', 'close', 'loss']"
60,"['current', 'us', 'manufacture', 'october', 'set', 'first', 'car', 'electric', 'charge', 'battery']"
61,"['two', 'post', 'street', 'biggest', 'power', 'motor', 'quarter', 'earn', ""n't"", ""tesla 's""]"
62,"['power', 'energy', 'technology', 'provide', 'billion', 'state', 'continue', 'electric', 'need', 'delay']"
63,"['another', 'produce', 'bottleneck', 'sales', 'get', 'could', 'tell', 'make', 'investors', 'close']"
64,"['new', 'market', 'people', 'one', 'take', 'make', 'many', 'current', 'point', 'sales']"
65,"['get', ""'s"", 'energy', 'may', 'electric', 'battery', 'use', 'charge', 'new', 'first']"
66,"[""'s"", 'electric', 'battery', 'market', 'say', 'company', ""tesla 's"", 'model', 'new', 'may']"
67,"['cost', 'could', 'note', 'vehicle', 'battery', 'need', 'future', 'system', 'also', 'per']"
68,"['people', 'car', 'cars', 'market', 'like', 'buy', 'go', 'time', 'years', 'sell']"
69,"[""'s"", 'october', 'model', 'company', ""tesla 's"", 'electric', 'electric vehicles', 'may', 'production', 'investors']"
70,"['end', 'increase', 'months', 'million', 'september', 'billion', 'sales', 'three', 'energy', 'production']"
71,"['motor', 'two', 'inc.', 'continue', 'october', 'follow', 'announce', 'take', 'plan', 'go']"
72,"['help', 'three', 'production', 'use', 'ceo', 'go', 'would', 'call', 'two', 'change']"
73,"['biggest', 'big', 'design', 'news', 'could', 'elon musk', 'set', 'bottleneck', 'november', 'october']"
74,"['comment', 'wall', 'want', 'musk', 'push', 'operate', 'system', 'take', 'set', 'sales']"
75,"['us', 'write', 'demand', 'million', 'report', 'provide', 'firm', 'find', 'offer', 'production']"
76,"[""'s"", 'battery', 'market', 'electric', 'new', 'expect', 'price', 'demand', 'accord', 'may']"
77,"['price', 'battery', ""'s"", 'new', 'electric', 'market', 'demand', 'say', 'years', 'point']"
78,"['operate', 'go', 'two', 'back', 'result', 'ceo elon', 'announce', 'system', 'still', 'many']"
79,"[""n't"", ""tesla 's"", 'year', 'model', 'design', 'expect', 'sell', 'big', 'news', 'still']"
80,"['say', 'file', 'company', 'work', 'california', 'would', 'post', 'write', 'end', 'also']"
81,"['high', 'show', 'result', 'follow', 'also', 'lead', 'since', 'report', 'include', 'long']"
82,"['share', 'quarter', 'stock', 'company', 'price', 'inc.', 'report', 'sell', 'target', 'billion']"
83,"['company', 'share', 'model', 'musk', 'elon musk', 'quarter', 'production', 'electric', 'report', 'firm']"
84,"['company', ""'s"", 'musk', 'elon musk', 'long', 'system', 'months', 'new', 'build', 'could']"
85,"['firm', 'ceo elon elon musk', 'manufacture', 'one', 'look', 'company', 'include', 'many', 'drive', 'write']"
86,"['recent', 'give', 'month', ""tesla 's"", 'add', 'ceo elon', 'want', 'months', 'also', 'already']"
87,"['energy', 'years', 'quarter', 'operate', 'could', 'electric vehicles', 'ceo elon elon musk', 'time', 'today', 'buy']"
88,"['electric', 'electric vehicles', 'vehicles', 'company', 'vehicle', 'years', 'next', 'technology', 'three', 'around']"
89,"['musk', 'say', 'company', 'model', 'elon musk', 'production', 'build', 'would', 'billion', 'elon']"
90,"['may', 'year', 'move', 'point', 'line', 'would', 'believe', 'target', 'market', 'first']"
91,"['production', 'may', 'firm', 'period', 'launch', 'model', 'also', 'release', 'bottleneck', 'company']"
92,"['electric', 'electric vehicles', 'vehicles', ""'s"", 'company', 'car', 'new', 'vehicle', 'battery', 'next']"
93,"['third quarter', 'many', 'continue', 'launch', 'need', 'ago', 'operate', 'post', ""'s"", 'increase']"
94,"['firm', 'company', 'october', 'model', 'production', ""'s"", ""tesla 's"", 'inc.', 'electric', 'make']"
95,"['comment', 'include', 'believe', 'first', 'buy', 'post', 'sales', 'per', 'drive', 'point']"
96,"['ago', 'next', 'time', 'news', 'wall', 'set', 'post', 'big', 'plan', 'people']"
97,"['charge', 'electric', 'car', 'per', 'power', 'electric vehicles', 'vehicle', 'vehicles', 'million', 'even']"
98,"['electric', 'electric vehicles', ""tesla 's"", 'company', 'battery', 'vehicles', 'market', 'vehicle', ""'s"", 'model']"
99,"['loss', 'post', 'report', 'share', 'wednesday', 'biggest', 'earn', 'trade', 'expect', 'three']"
